ID,lang_count
17461978,2
17685258,2
15750898,1
1659167666,4
34743251,1
27260086,2
57097104,2
1297609266623217664,0
207809313,3
24212655,4
1485029462,2
105297123,3
849880970,2
15764644,1
2463494166,1
39555442,4
480604244,2
764941707133812736,1
23022687,1
90868268,1
14230524,5
726414091,1
236699098,4
939091,1
1280688197068972032,1
177673457,9
558797310,4
208120290,1
5402612,3
1134552730146500608,3
1141136372,3
14108472,2
783214,3
169686021,4
30180137,1
58579942,1
1447949844,4
812362585332912128,1
2353605901,1
22703645,1
36196023,5
2421067430,1
84078498,3
23527603,2
2293315159,1
237824268,2
1150826920394788864,1
19570960,1
78523300,1
345811633,0
1279851861370077184,1
941304403054727168,8
246500501,2
247653244,1
1111940934,1
21536398,4
54885400,2
91478624,1
255388236,2
16303106,2
3171712086,4
1276374102,1
197881715,4
3268042182,1
22203756,2
1539495661,3
2965511647,2
23765365,6
1292827583416078336,0
299456906,2
375721095,1
30354991,1
1214658897325281280,1
170861207,1
1115977467951501312,1
1945909922,3
1297520167967248384,1
50115087,1
127117223,7
462822954,1
3995778614,2
1960613304,8
27860702,1
1295157751841280000,1
1287626469712121856,0
306642753,3
3138637447,2
1032805565796311040,1
870825202678157312,7
56774483,1
18560271,3
428377986,6
106448460,1
205392468,1
843514885644271616,2
24578794,1
39349894,5
48223726,2
56321478,1
1226928204805328896,1
12550682,2
57289662,3
807095,1
428185684,3
270109981,2
861598125772951552,1
1196816405779361792,9
2510356369,2
334715818,1
531615634,2
287884272,1
26565946,4
19725644,1
497052651,3
14499829,1
1063519736607268864,10
1117820648716480512,4
523248016,1
45828171,1
22841103,2
25127156,1
18139497,1
15515169,1
21447363,3
34430522,2
273452117,7
1108472017144201216,2
216935219,1
471741741,5
50393960,1
1094649075021107200,1
818928162449068032,1
422201803,10
894527124,1
29458079,1
272395158,1
1268970789883314176,1
38495835,1
39344374,1
43017766,5
18180495,3
3420965229,1
140750163,5
18462058,1
722586421622611968,1
14982804,4
786309892990574592,1
19739126,1
1066820433721331712,2
151123001,9
40793905,2
885487044243238912,5
528999980,11
788752007246905344,2
450235955,16
15254807,1
913308968809672704,3
18080969,1
1864924758,2
199854295,1
18228898,3
112764971,11
1170215895895089152,1
14957318,4
15485441,2
3309200134,4
295833852,3
1270520908592099328,0
384951307,4
720293443260456960,1
173744348,8
90836187,8
34927577,1
1154147577014734848,3
30621351,1
23937786,4
45662364,2
36218435,1
1274612817820356608,0
27000730,1
16882335,1
5509762,1
595515713,1
965590040,2
25101996,3
16174854,1
842071545296084992,2
3431530511,4
96948912,3
145711798,5
456095936,1
51990743,1
28614550,1
900528228745478144,4
20567939,2
1209738691096301568,1
11348282,1
1284223303868198912,1
851526166100029440,1
2541363451,4
779898205,5
145535271,2
857250949110300672,2
2617066206,3
79581485,2
28785486,1
34507480,3
14980820,1
2467791,1
18166778,2
16334281,1
216065430,1
357606935,1
14364779,5
259379883,5
122658025,3
1346439824,3
14130366,1
205938621,3
35827739,1
3932768472,1
890891,3
823638938590085120,3
46973152,3
276445663,2
50769180,1
1754641,1
36065771,1
702576038,5
1140041857,2
63796828,1
822215679726100480,1
1297740366318313472,1
19583545,6
49698134,2
264316796,8
13850422,1
950165300,4
16331010,4
2326377163,3
3004231,5
612473,2
219617448,2
19956026,2
69079291,3
744476125695455232,1
2558684335,3
101532373,4
1118981037944500224,2
14839147,1
2375182790,2
835833765033291776,3
104040220,4
51241574,1
84457849,1
729676086632656896,2
322293052,6
39364684,1
988573326376427520,1
2935489123,1
250037542,1
135421739,3
1092088353439264768,0
16664681,1
328406897,3
72631996,1
145879277,1
71201743,6
588200416,1
22938914,2
1216971385777664000,11
309052808,1
26270971,1
2838662525,5
93069110,2
245963716,5
18839785,5
44196397,3
1153045459,4
1297256029973954560,1
93070840,2
1289004691079274496,1
1115965900199534592,0
25676606,4
14673907,1
1285129147581214720,1
1072996442,1
19230601,2
23603092,1
236597458,1
37011822,1
471352249,1
358226078,3
1251920160342056960,1
33792634,2
1296445798650126336,1
1042463396128583680,2
970207298,1
1297012590875312128,1
5392522,1
47786101,2
1295688941056786432,2
26487169,1
240802366,3
50826280,3
826924399383150592,3
2584178156,1
7744592,2
42389136,1
1187679030582972416,1
3045608319,11
742143,1
818876014390603776,1
1194614117543243776,4
108568373,2
37637826,6
825573340253450240,1
2326857668,2
1158691610776887296,0
1373054690,0
877807935493033984,6
1283358278076882944,0
955912704002351104,1
23783692,3
172414996,2
1279617214459469824,1
125441553,4
15811181,2
325830217,1
158487331,10
57987347,3
1330457336,1
28414319,3
823083,3
33041426,8
50374439,2
18948923,1
166739404,3
14573900,4
138372303,3
22756947,6
1964571728,14
936367565437157376,1
954609672853643264,1
38164846,11
25460615,5
309366491,1
39275966,1
1228320788,2
788524,1
2421079436,1
17919972,6
1292335003758559232,1
17471979,1
1150409755342573568,2
1900999764,1
1618884925,3
310111388,2
863808288789590016,2
68034431,4
1884529722,2
1255195409623904256,1
1275874445601595392,0
1314883734,1
2363965196,1
1257958717322072064,1
138203134,3
76658323,2
278146795,7
87719807,3
3855911,2
807220518,1
7587032,2
428333,1
69755180,1
6708952,1
814386998140174336,2
1133445477536542720,1
1603882129,1
111141045,2
3298340918,5
28422142,3
24828946,1
17230018,5
595689564,1
14740219,7
25330246,2
316033903,1
20015311,1
325652151,1
169940719,1
1199104189374316544,4
15241557,1
2793952751,2
44282068,1
1242819338886877184,1
49305802,1
2244994945,2
2161606332,1
41931916,2
980573135220113408,2
15670515,2
28406270,2
3065618342,2
148343494,3
730752382691364864,1
142157505,1
1406619086,4
790201548739534848,1
185142711,2
1268871758347558912,1
15506669,1
768088519088668672,1
12,2
460703687,5
49954421,7
2714290906,3
14412533,1
1527698995,2
10441,1
54040314,8
5768872,3
218078497,2
2217998766,1
1026111586652631040,1
4578679955,7
2558843462,1
51263592,1
19084896,1
31348594,4
346878074,4
1248672392639119360,1
2896946410,1
627673190,10
933737516,1
2577476334,1
29873662,2
15808765,1
1247630011043061760,1
29734071,1
29840295,4
185397039,1
21001534,2
702207062,1
572373159,2
62614267,2
13298072,2
1549457101,2
70363441,4
12447792,1
923088309445906432,8
550202880,12
20498872,1
1297608510599987200,0
17475575,1
556130277,3
1261273216686813184,1
301309392,4
1278399152590737408,3
2270465620,3
5988062,1
21925400,2
219248343,1
214620546,1
1636590253,3
155878576,1
820744644497641472,2
447062632,1
17602896,3
279400382,1
792119786,1
234051381,1
40519997,3
3315713812,1
283080153,4
500704345,2
36686040,1
198975780,1
1036526562,1
2835606110,1
1087750770148159488,1
2879463024,4
114830976,3
1489703012,4
2893511188,6
17220817,2
29501253,1
564000560,1
196494476,2
815443022011834368,3
1246391614546853888,1
816653,1
130371704,1
630788634,3
4798685026,10
15754281,1
102141753,1
855081857284792320,4
147441627,2
2838456199,2
1221972865,8
56569906,1
965474152453943296,3
18785482,1
74319127,2
1106579662136901632,0
2875477562,2
295674527,2
512613427,4
18200480,1
14222536,4
14392222,1
248917209,1
25613925,3
1119512469850877952,1
329247331,2
16072058,1
3388886177,3
383725805,2
1060820024632332288,1
1087423635772657664,1
800054127682342912,1
350118701,11
15327565,1
884808295181160448,6
180505807,3
986334204698025984,3
85741735,6
1224641811072765952,1
35206553,2
19795597,1
11856892,1
983804207827472384,3
2425151,1
231726733,1
818503099,2
517077573,1
1192805011954159616,8
2097571,1
18148907,2
53925101,3
4898091,1
20793816,5
54951973,1
2217416046,1
818902172347678720,1
378221899,1
2485828098,1
19923144,3
893685430779957248,1
1007298607,10
269865906,1
19980499,6
15276225,4
66780587,1
1269427146277216256,0
344801362,8
24223641,1
18948541,1
1723233727,2
1513756614,3
19566104,1
2936714848,1
18771370,1
74286565,2
79714650,1
15227791,3
705290341004550144,5
769869708359237632,2
504254599,6
291428614,1
29307276,2
18222378,4
31652974,3
17300576,3
996282520542072832,0
255176423,1
1003751744822759424,1
754860209877688320,3
136811210,7
326031474,1
78194111,3
262633239,1
1441928208,2
1149844590146572288,1
147787042,3
12266442,4
214201922,1
2422665828,7
819543872883884032,4
1248886320035848192,1
358546943,1
1213547487039873024,1
704356884636164096,3
226944459,8
1216721118368878592,0
18222599,5
830908366377611264,1
17899109,1
19955482,3
4634641273,1
353345238,2
1255066195235143680,3
1031715696286281728,5
818283514068017152,4
1178259705984094208,4
857619919,6
1063034450,5
35936474,1
1118555288112697344,2
1171199833895591936,3
1273053994986934272,0
4140881832,2
26703925,3
320529874,3
2163885564,1
42519612,3
2842841126,6
2339333214,6
574668919,1
1059194370,4
1065057521231110144,6
2557521,2
152590667,4
1083544133967310848,1
475352813,1
1173227385099083776,7
112047805,3
38532460,2
811350,3
1284345574641344512,0
1156866230,2
429247237,4
1251557758413017088,0
381690659,0
27638671,3
3167789983,1
1072865368975171584,1
852025319447871488,7
1270252858600906752,1
131928174,6
1901546563,4
1220410068291801088,2
294712456,4
18610936,2
1247852843782017024,0
66369206,2
426611317,4
279390084,1
137775043,2
1169715511787212800,1
1073075100679892992,7
1253633787046629376,1
335011103,5
1178328895273279488,6
485307941,8
52422878,2
85452649,2
54938044,1
1096048965492068352,2
2371056312,1
81344005,5
30287715,1
25365536,3
45279311,4
341141967,3
268414482,4
425871040,2
379553892,3
913812620,6
1153815312791474176,1
183040790,2
567010052,3
1117786405,4
30047168,3
1228104082512105472,1
1241912439232499712,0
338084918,1
1070196916628017152,2
573876778,4
1059087512021426176,1
1590226885,1
964446415769530368,1
343627165,6
182573602,10
1100208907975307264,6
22276746,1
1278542023167930368,11
511107301,1
40636290,6
314270661,1
423868716,1
3403882361,5
23369458,5
2401980110,2
133880286,1
24719760,8
197122266,4
27673684,8
911621878778916864,3
48187006,3
46597488,3
42562446,3
353178677,4
787714178282844160,4
19272244,3
1954619760,2
2750178187,5
263939125,2
19397785,3
245065992,3
2388143217,1
26589987,3
2961233080,2
861742895036080128,1
30495613,8
1071391706023714816,1
21020832,2
272523714,1
888121704555266048,1
